model,position_rmse,joint_rmse,training_time,inference_time,inference_time_per_sample,status,dof,model_type,timeout_count,failure_count
KNN,1.0648485481674672,1.0648485481674672,0.01934194564819336,0.010947704315185547,1.0947704315185547e-05,success,3,ML,,
ELM,1.3555096457099145,1.3555096457099145,0.07100224494934082,0.0003695487976074219,3.695487976074219e-07,success,3,ML,,
RandomForest,0.8569983607656346,0.8569983607656346,0.4564189910888672,0.012892723083496094,1.2892723083496094e-05,success,3,ML,,
SVM,1.1026478311115957,1.1026478311115957,0.6593496799468994,0.13361382484436035,0.00013361382484436036,success,3,ML,,
ANN,1.2841752316937907,1.2841752316937907,6.714364528656006,0.001069784164428711,1.069784164428711e-06,success,3,ML,,
MDN,1.3672375479120862,1.3672375479120862,10.876646518707275,0.0006976127624511719,6.976127624511719e-07,success,3,ML,,
CVAE,0.9398276678851385,0.9398276678851385,10.111711978912354,0.0006194114685058594,6.194114685058593e-07,success,3,ML,,
Analytical_IK,2.4332046815854866,2.4332046815854866,0.0,0.022724390029907227,2.2724390029907227e-05,success,3,Traditional,0.0,0.0
Jacobian_IK,0.3162194507244047,0.3162194507244047,0.0,2.127044677734375,0.002127044677734375,success,3,Traditional,0.0,0.0
SDLS_IK,2.690222371989821,2.690222371989821,0.0,13.252628326416016,0.013252628326416016,success,3,Traditional,0.0,0.0
KNN,1.42492164931815,1.42492164931815,0.006581783294677734,0.015755176544189453,1.575517654418945e-05,success,4,ML,,
ELM,1.5365915295475983,1.5365915295475983,0.20566534996032715,0.00037550926208496094,3.7550926208496093e-07,success,4,ML,,
RandomForest,1.3798463216878472,1.3798463216878472,0.5360264778137207,0.023183107376098633,2.318310737609863e-05,success,4,ML,,
SVM,1.4019137340836496,1.4019137340836496,1.0224111080169678,0.2915763854980469,0.0002915763854980469,success,4,ML,,
ANN,1.5147035294824405,1.5147035294824405,0.8816094398498535,0.001280069351196289,1.280069351196289e-06,success,4,ML,,
MDN,1.5085999009151696,1.5085999009151696,10.426873207092285,0.0007288455963134766,7.288455963134765e-07,success,4,ML,,
CVAE,1.4005534185172739,1.4005534185172739,9.966189861297607,0.0006470680236816406,6.470680236816406e-07,success,4,ML,,
Analytical_IK,2.761086692632606,2.761086692632606,0.0,0.03627467155456543,3.627467155456543e-05,success,4,Traditional,0.0,0.0
Jacobian_IK,1.2126601436623208,1.2126601436623208,0.0,11.17563009262085,0.011175630092620849,success,4,Traditional,0.0,0.0
SDLS_IK,2.7337189025058035,2.7337189025058035,0.0,24.75763440132141,0.02475763440132141,success,4,Traditional,0.0,0.0
KNN,1.6308274317371299,1.6308274317371299,0.010692358016967773,0.025744199752807617,2.5744199752807617e-05,success,5,ML,,
ELM,1.6596605499387085,1.6596605499387085,0.1733548641204834,0.0005171298980712891,5.171298980712891e-07,success,5,ML,,
RandomForest,1.5740957262428819,1.5740957262428819,0.7925469875335693,0.023405790328979492,2.3405790328979494e-05,success,5,ML,,
SVM,1.5897863431667982,1.5897863431667982,1.3310346603393555,0.3734009265899658,0.0003734009265899658,success,5,ML,,
ANN,1.6353398525721325,1.6353398525721325,0.8141193389892578,0.0015769004821777344,1.5769004821777343e-06,success,5,ML,,
MDN,1.6351409809330986,1.6351409809330986,9.351598262786865,0.0007600784301757812,7.600784301757813e-07,success,5,ML,,
CVAE,1.8362089565148825,1.8362089565148825,9.747263669967651,0.0006630420684814453,6.630420684814453e-07,success,5,ML,,
Analytical_IK,2.850622637395841,2.850622637395841,0.0,0.029042959213256836,2.9042959213256835e-05,success,5,Traditional,0.0,0.0
Jacobian_IK,1.6566511059445321,1.6566511059445321,0.0,26.713868141174316,0.026713868141174317,success,5,Traditional,0.0,0.0
SDLS_IK,2.7027720132322974,2.7027720132322974,0.0,32.82094359397888,0.032820943593978885,success,5,Traditional,0.0,0.0
KNN,1.8155195143188516,1.8155195143188516,0.016387939453125,0.022350788116455078,2.2350788116455077e-05,success,6,ML,,
ELM,1.7615831725432904,1.7615831725432904,0.10042500495910645,0.0005331039428710938,5.331039428710938e-07,success,6,ML,,
RandomForest,1.7763660245196982,1.7763660245196982,0.5960855484008789,0.023357152938842773,2.3357152938842773e-05,success,6,ML,,
SVM,1.7739361094074289,1.7739361094074289,1.3159713745117188,0.4807448387145996,0.00048074483871459963,success,6,ML,,
ANN,1.749971321415925,1.749971321415925,0.7996788024902344,0.0017461776733398438,1.7461776733398437e-06,success,6,ML,,
MDN,1.7390970780190196,1.7390970780190196,11.81093692779541,0.0007922649383544922,7.922649383544922e-07,success,6,ML,,
CVAE,2.091916434382292,2.091916434382292,9.819928646087646,0.0006868839263916016,6.868839263916015e-07,success,6,ML,,
Analytical_IK,2.863782071076613,2.863782071076613,0.0,0.034813880920410156,3.481388092041016e-05,success,6,Traditional,0.0,0.0
Jacobian_IK,2.0699193725713037,2.0699193725713037,0.0,26.199418544769287,0.026199418544769287,success,6,Traditional,0.0,0.0
SDLS_IK,2.734187856100456,2.734187856100456,0.0,44.9343056678772,0.0449343056678772,success,6,Traditional,0.0,0.0
KNN,1.901212759462058,1.901212759462058,0.014589786529541016,0.021741867065429688,2.1741867065429686e-05,success,7,ML,,
ELM,1.801486213959843,1.801486213959843,0.1110835075378418,0.0006146430969238281,6.146430969238281e-07,success,7,ML,,
RandomForest,1.8181640557226384,1.8181640557226384,0.6838076114654541,0.02311849594116211,2.3118495941162108e-05,success,7,ML,,
SVM,1.829636765560432,1.829636765560432,1.5525729656219482,0.546727180480957,0.000546727180480957,success,7,ML,,
ANN,1.783652241734007,1.783652241734007,0.8299238681793213,0.0015411376953125,1.5411376953125e-06,success,7,ML,,
